Time (years),Data_1,Data_2
1340400000.0,812193.8340366099,
1344868000.0,811630.8641704792,
1349336000.0,811068.284525324,
1353804000.0,810506.0948306636,
1358272000.0,809944.2948162052,
1362740000.0,809382.8842118427,
1367208000.0,808821.8627476578,
1371676000.0,808261.2301539191,
1376144000.0,807700.9861610819,
1380612000.0,807141.1304997889,
1385080000.0,806581.662900869,
1389548000.0,806022.583095338,
1394016000.0,805463.8908143978,
1398484000.0,804905.5857894369,
1402952000.0,804347.6677520301,
1407420000.0,803790.1364339378,
1411888000.0,803232.9915671067,
1416356000.0,802676.2328836692,
1420824000.0,802119.8601159434,
1425292000.0,801563.8729964328,
1429760000.0,801008.2712578266,
1434228000.0,800453.054632999,
1438696000.0,799898.2228550095,
1443164000.0,799343.7756571026,
1447632000.0,798789.7127727077,
1452100000.0,798236.033935439,
1456568000.0,797682.7388790953,
1461036000.0,797129.8273376599,
1465504000.0,796577.2990453006,
1469972000.0,796025.1537363692,
1474440000.0,795473.3911454021,
1478908000.0,794922.0110071192,
1483376000.0,794371.0130564246,
1487844000.0,793820.3970284059,
1492312000.0,793270.1626583347,
1496780000.0,792720.3096816657,
1501248000.0,792170.8378340373,
1505716000.0,791621.7468512708,
1510184000.0,791073.0364693709,
1514652000.0,790524.7064245252,
1519120000.0,789976.7564531041,
1523588000.0,789429.1862916608,
1528056000.0,788881.995676931,
1532524000.0,788335.184345833,
1536992000.0,787788.7520354675,
1541460000.0,787242.6984831173,
1545928000.0,786697.0234262473,
1550396000.0,786151.7266025045,
1554864000.0,785606.8077497176,
1559332000.0,785062.2666058972,
1563800000.0,784518.1029092354,
1568268000.0,783974.3163981056,
1572736000.0,783430.9068110628,
1577204000.0,782887.8738868432,
1581672000.0,782345.217364364,
1586140000.0,781802.9369827233,
1590608000.0,781261.0324812003,
1595076000.0,780719.5035992546,
1599544000.0,780178.3500765266,
1604012000.0,779637.5716528372,
1608480000.0,779097.1680681874,
1612948000.0,778557.1390627588,
1617416000.0,778017.4843769126,
1621884000.0,777478.2037511903,
1626352000.0,776939.2969263134,
1630820000.0,776400.7636431827,
1635288000.0,775862.6036428788,
1639756000.0,775324.8166666619,
1644224000.0,774787.4024559712,
1648692000.0,774250.3607524255,
1653160000.0,773713.6912978224,
1657628000.0,773177.3938341386,
1662096000.0,772641.4681035298,
1666564000.0,772105.9138483302,
1671032000.0,771570.7308110525,
1675500000.0,771035.9187343882,
1679968000.0,770501.477361207,
1684436000.0,769967.4064345568,
1688904000.0,769433.7056976636,
1693372000.0,768900.3748939314,
1697840000.0,768367.4137669422,
1702308000.0,767834.8220604556,
1706776000.0,767302.5995184086,
1711244000.0,766770.7458849162,
1715712000.0,766239.2609042702,
1720180000.0,765708.1443209401,
1724648000.0,765177.3958795723,
1729116000.0,764647.0153249901,
1733584000.0,764117.0024021941,
1738052000.0,763587.356856361,
1742520000.0,763058.0784328448,
1746988000.0,762529.1668771756,
1751456000.0,762000.6219350599,
1755924000.0,761472.4433523807,
1760392000.0,760944.6308751969,
1764860000.0,760417.1842497435,
1769328000.0,759890.1032224314,
1773796000.0,759363.3875398474,
1778264000.0,758837.0369487538,
1782732000.0,758311.0511960883,
1787200000.0,757785.4300289643,
1791668000.0,757260.1731946704,
1796136000.0,756735.2804406701,
1800604000.0,756210.7515146025,
1805072000.0,755686.586164281,
1809540000.0,755162.7841376943,
1814008000.0,754639.3451830054,
1818476000.0,754116.2690485523,
1822944000.0,753593.5554828469,
1827412000.0,753071.2042345759,
1831880000.0,752549.2150525998,
1836348000.0,752027.5876859535,
1840816000.0,751506.3218838456,
1845284000.0,750985.4173956588,
1849752000.0,750464.8739709493,
1854220000.0,749944.6913594471,
1858688000.0,749424.8693110554,
1863156000.0,748905.407575851,
1867624000.0,748386.3059040837,
1872092000.0,747867.5640461766,
1876560000.0,747349.1817527257,
1881028000.0,746831.1587745,
1885496000.0,746313.4948624412,
1889964000.0,745796.1897676635,
1894432000.0,745279.2432414537,
1898900000.0,744762.655035271,
1903368000.0,744246.4249007469,
1907836000.0,743730.5525896852,
1912304000.0,743215.0378540613,
1916772000.0,742699.8804460231,
1921240000.0,742185.0801178897,
1925708000.0,741670.6366221523,
1930176000.0,741156.5497114735,
1934644000.0,740642.8191386875,
1939112000.0,740129.4446567995,
1943580000.0,739616.4260189863,
1948048000.0,739103.7629785953,
1952516000.0,738591.4552891455,
1956984000.0,738079.5027043262,
1961452000.0,737567.9049779975,
1965920000.0,737056.6618641905,
1970388000.0,736545.7731171064,
1974856000.0,736035.2384911169,
1979324000.0,735525.057740764,
1983792000.0,735015.2306207598,
1988260000.0,734505.7568859864,
1992728000.0,733996.6362914959,
1997196000.0,733487.8685925099,
2001664000.0,732979.4535444201,
2006132000.0,732471.3909027874,
2010600000.0,731963.6804233424,
2015068000.0,731456.3218619847,
2019536000.0,730949.3149747833,
2024004000.0,730442.6595179763,
2028472000.0,729936.3552479708,
2032940000.0,729430.4019213425,
2037408000.0,728924.799294836,
2041876000.0,728419.5471253645,
2046344000.0,727914.6451700098,
2050812000.0,727410.0931860219,
2055280000.0,726905.8909308192,
2059748000.0,726402.0381619881,
