Time (years),Data_1,Data_2
17678.0,100000.0,99999.99999999993
17678.5,100000.0,99999.99999999993
17679.0,100000.0,99999.99999999993
17679.5,100000.0,99999.99999999993
17680.0,100000.0,99999.99999999993
17680.5,100000.0,99999.99999999993
17681.0,100000.0,99999.99999999993
17681.5,100000.0,99999.99999999993
17682.0,100000.0,99999.99999999993
17682.5,100000.0,99999.99999999993
17683.0,100000.0,99999.99999999993
17683.5,100000.0,99999.99999999993
17684.0,100000.0,99999.99999999993
17684.5,100000.0,99999.99999999993
17685.0,100000.0,99999.99999999993
17685.5,100000.0,99999.99999999993
17686.0,100000.0,99999.99999999993
17686.5,100000.0,99999.99999999993
17687.0,100000.0,99999.99999999993
17687.5,100000.0,99999.99999999993
17688.0,100000.0,99999.99999999993
17688.5,100000.0,99999.99999999993
17689.0,100000.0,99999.99999999993
17689.5,100000.0,99999.99999999993
17690.0,100000.0,99999.99999999993
17690.5,100000.0,99999.99999999993
17691.0,100000.0,99999.99999999993
17691.5,100000.0,99999.99999999993
17692.0,100000.0,99999.99999999993
17692.5,100000.0,99999.99999999993
17693.0,100000.0,99999.99999999993
17693.5,100000.0,99999.99999999993
17694.0,100000.0,99999.99999999993
17694.5,100000.0,99999.99999999993
17695.0,100000.0,99999.99999999993
17695.5,100000.0,99999.99999999993
17696.0,100000.0,99999.99999999993
17696.5,100000.0,99999.99999999993
17697.0,100000.0,99999.99999999993
17697.5,100000.0,99999.99999999993
17698.0,100000.0,99999.99999999993
17698.5,100000.0,99999.99999999993
17699.0,100000.0,99999.99999999993
17699.5,100000.0,99999.99999999993
17700.0,100000.0,99999.99999999993
17700.5,100000.0,99999.99999999993
17701.0,100000.0,99999.99999999993
17701.5,100000.0,99999.99999999993
17702.0,100000.0,99999.99999999993
17702.5,100000.0,99999.99999999993
17703.0,100000.0,99999.99999999993
17703.5,100000.0,99999.99999999993
17704.0,100000.0,99999.99999999993
17704.5,100000.0,99999.99999999993
17705.0,100000.0,99999.99999999993
17705.5,100000.0,99999.99999999993
17706.0,100000.0,99999.99999999993
17706.5,100000.0,99999.99999999993
17707.0,100000.0,99999.99999999993
17707.5,100000.0,99999.99999999993
17708.0,100000.0,99999.99999999993
17708.5,100000.0,99999.99999999993
17709.0,100000.0,99999.99999999993
17709.5,100000.0,99999.99999999993
17710.0,100000.0,99999.99999999993
17710.5,100000.0,99999.99999999993
17711.0,100000.0,99999.99999999993
17711.5,100000.0,99999.99999999993
17712.0,100000.0,99999.99999999993
17712.5,100000.0,99999.99999999993
17713.0,100000.0,99999.99999999993
17713.5,100000.0,99999.99999999993
17714.0,100000.0,99999.99999999993
17714.5,100000.0,99999.99999999993
17715.0,100000.0,99999.99999999993
17715.5,100000.0,99999.99999999993
17716.0,100000.0,99999.99999999993
17716.5,100000.0,99999.99999999993
17717.0,100000.0,99999.99999999993
17717.5,100000.0,99999.99999999993
17718.0,100000.0,99999.99999999993
17718.5,100000.0,99999.99999999993
17719.0,100000.0,99999.99999999993
17719.5,100000.0,99999.99999999993
17720.0,100000.0,99999.99999999993
17720.5,100000.0,99999.99999999993
17721.0,100000.0,99999.99999999993
17721.5,100000.0,99999.99999999993
17722.0,100000.0,99999.99999999993
17722.5,100000.0,99999.99999999993
17723.0,100000.0,99999.99999999993
17723.5,100000.0,99999.99999999993
17724.0,100000.0,99999.99999999993
17724.5,100000.0,99999.99999999993
17725.0,100000.0,99999.99999999993
17725.5,100000.0,99999.99999999993
17726.0,100000.0,99999.99999999993
17726.5,100000.0,99999.99999999993
17727.0,100000.0,99999.99999999993
17727.5,100000.0,99999.99999999993
17728.0,100000.0,99999.99999999993
17728.5,100000.0,99999.99999999993
17729.0,100000.0,99999.99999999993
17729.5,100000.0,99999.99999999993
